[2.07913544,-0.43372071];[-1.82265554e-04,-2.72416315e-04,-1.51733258e-01,9.88421419e-01];[[4.24908989, -1.47223944], [0.40000001, -0.59999997], [5.50000008, 1.3000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[140.8035213151675], [6382.287474522555], [126.11050487989796], [0], [0], [0], [0], [0], [0], [0]];[0.40000001,-0.59999997]
[0.30386656,-0.55479293];[0.00372689,0.00197975,0.98838874,-0.15188772];[[6.48232913, -1.81375957], [5.40000007, 1.60000024], [2.70000003, -2.89999983], [-1.50000003, -1.39999981], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[171.6102184847117], [5637.804541478105], [1930.0261691608694], [1895.7429720328917], [0], [0], [0], [0], [0], [0]];[5.40000007,1.60000024]
[5.29322494,1.51391146];[-0.00775786,-0.00163582,0.31721483,0.94832056];[[2.09210312, -5.99484968], [4.90000011, -2.8000003], [4.50000011, 1.89999977], [2.60000008, -3.0000003], [0.40000005, -3.0000003], [-0.59999997, 0.59999975], [-1.56271875, -1.90227747], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[27.58117514112951], [29.05089016058292], [30.524055696207956], [28.979895917066198], [27.755911447448597], [428.72209243125275], [27.605066238304527], [0], [0], [0]];[-0.59999997,0.59999975]
[-0.44935089,0.5773496];[0.00617387,0.01261356,0.99874457,0.04808382];[[0.60871179, -2.88591281], [4.20000023, -3.60000031], [-0.19999983, 1.39999976], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.03606316833140701], [0.007256252976443122], [0.00794896905217132], [0], [0], [0], [0], [0], [0], [0]];[0.60871179,-2.88591281]
[0.50272014,-2.66226839];[-0.01150282,0.00198104,-0.53652359,0.8438046];[[4.84550097, -3.9049749], [-2.09655666, -3.17229179], [2.0000003, -6.30000035], [1.29094934, -4.43506241], [-0.39999973, -5.30000034], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.007117609063694857], [0.007205623969814235], [0.007231687820327604], [0.007462927262328989], [0.0], [0], [0], [0], [0], [0]];[1.29094934,-4.43506241]
[-1.10364456,-2.81831768];[9.36749157e-03,-4.43888859e-04,9.95232034e-01,-9.70837385e-02];[[4.99961853, -5.6114254], [-1.2000001, -3.90000031], [-3.80000014, -2.8000003], [-4.60000015, -0.90000027], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[67.006399837187], [73.74549041175464], [66.57897581429262], [215.61095140010167], [0], [0], [0], [0], [0], [0]];[-4.60000015,-0.90000027]
[-4.46996308,-1.0094623];[0.00113153,0.00115602,0.93307043,0.35969007];[[-1.1999996, -3.70000031], [-7.54999969, -1.50000028], [-8.3999997, -3.85000031], [5.00000059, -5.40000034], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0], [0], [0]];[-1.1999996,-3.70000031]
[-1.00692481,-3.82145016];[-5.60425702e-03,-6.95307760e-04,-4.17688255e-01,9.08572854e-01];[[4.99999983, -5.40000034], [-0.29814795, 2.34670258], [-5.60000033, 0.79999976], [-8.10000037, -1.70000028], [-8.50000038, -3.90000031], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0.0], [0.0], [0], [0], [0], [0], [0]];[4.99999983,-5.40000034]
[4.97210638,-5.42239652];[-0.00199465,0.00229151,-0.01524365,0.99987919];[[-4.87475774, 0.89876174], [-8.10000037, -1.69999951], [-8.50000038, -3.89999955], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[0.0], [0.0], [0.0], [0], [0], [0], [0], [0], [0], [0]];[-4.87475774,0.89876174]
